UID,Clear ID,Grade,Flesch Kincaid,Text,Sentence Score,Sentence Score Rationale,Vocabulary Score,Vocabulary Score Rationale,Tier 2 Words,Tier 3 Words,Archaic Words,Other Complex Words,Background Knowledge Assumption
0,1901,3,7.97,"The Battle of Saratoga is considered the turning point of the American Revolution. The battle was fought in late 1777. I. It was actually two engagements: the Battle of Freeman's Farm (September 19) and the Battle of Bemis Heights (October 7). The Americans were led by General Horatio Gates. The British were led by General John Burgoyne. On October 17 Burgoyne surrendered his army of nearly 6,000 British soldiers. The American victory helped convince France to come to the aid the Continental Army. It also helped them recognize the United States.
In early 1777, General William Howe asked London to approve his plan to attack Philadelphia. This would destroy the rebel American government. In Canada, General John Burgoyne submitted a plan to move down through New York and meet General Howe at Albany. This would divide the colonies. London approved both plans. Burgoyne began moving down the Hudson River valley from Canada. He split his force into two columns. One, under Colonel Barry St. Leger moved east from Lake Ontario down the Mohawk Valley. They attacked the Americans at Fort Stanwix. The Americans sent two parties to relieve the fort.",slightly complex,"ss_annotator_1: FK Places this text in the 6-8 band. 

General complexity: The text requires substantial background knowledge, and the overall structure goes from late 1777 to early 1777, which is a complex structure for elementary school. 

Sentence structure:
The text is composed entirely of simple sentences. Each sentence contains one concept/idea unit. Few sentences contain transition words/phrases.

ss_annotator_2: This passage is written with only simple sentences. Several sentences have multiple concepts. The passage offers plenty of facts and information while uniformly straight forward.",very complex,"vocab_annotator_1: Readers may pause to find meaning of frequent tier 3, archaic, and regional terms that they may not have context for in grade 3. This will in turn, slow fluency and decrease comprehension of the text.

vocab_annotator_3: Military and historical terms are dense; the amount of Tier 2 words is high, too. The conceptual density of strategic planning and multi-step events can be overwhelming for grade 3 students.","approve, approved, attack, columns, considered, convince, destroy, divide, engagements, force, recognize, relief, relieve, submitted, surrendered, turning point, victory","aid, american revolution, army, battle, battle of bemis heights, battle of freeman's farm, battle of saratoga, british, colonies, continental army, engagements, fort, miliatry plans, parties, rebel american government, soldiers, surrender","colonies, continental army, rebel american government","canada, fort stanwix, hudson river valley, lake ontario, mohawk valley","Students are likely familiar with the American Revolution and its significance, but may not be familiar with specific battles like the Battle of Saratoga or the detailed military strategies involved."
1,1901,4,7.97,"The Battle of Saratoga is considered the turning point of the American Revolution. The battle was fought in late 1777. I. It was actually two engagements: the Battle of Freeman's Farm (September 19) and the Battle of Bemis Heights (October 7). The Americans were led by General Horatio Gates. The British were led by General John Burgoyne. On October 17 Burgoyne surrendered his army of nearly 6,000 British soldiers. The American victory helped convince France to come to the aid the Continental Army. It also helped them recognize the United States.
In early 1777, General William Howe asked London to approve his plan to attack Philadelphia. This would destroy the rebel American government. In Canada, General John Burgoyne submitted a plan to move down through New York and meet General Howe at Albany. This would divide the colonies. London approved both plans. Burgoyne began moving down the Hudson River valley from Canada. He split his force into two columns. One, under Colonel Barry St. Leger moved east from Lake Ontario down the Mohawk Valley. They attacked the Americans at Fort Stanwix. The Americans sent two parties to relieve the fort.",slightly complex,"ss_annotator_1: FK places this text in the 6-8 band. 

General complexity: The text requires substantial background knowledge, and the overall structure goes from late 1777 to early 1777, which is a complex structure for elementary school. 

Sentence structure:
The text is composed entirely of simple sentences. Each sentence contains one concept/idea unit. Few sentences contain transition words/phrases.

ss_annotator_2: This passage is written with only simple sentences. Several sentences have multiple concepts. The passage offers plenty of facts and information while uniformly straight forward.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
2,1914,3,6.65,"Blood is a liquid in humans and many animals except insects. Blood is pushed through the organism by the heart, and brings nutrients and oxygen to our tissues. It also takes away waste and carbon dioxide from tissues. 
Blood of vertebrates is made up of blood plasma and various cells — red blood cells, white blood cells and platelets. Platelets help blood to clot. Hemoglobin is in red blood cells. White blood cells help fight infections and heal wounds.
Blood plasma is the yellow liquid in which blood cells float. Plasma is made up of nutrients, electrolytes (salts), gases, non-protein hormones, waste, lipids, and proteins. These proteins are albumin, antibodies (also called immunoglobulins), clotting factors, and protein hormones. Plasma that does not have the protein fibrinogen is called serum and cannot clot. Adults have about 3 liters of plasma. Plasma is a liquid, mostly water (90%). Plasma takes up 55% of volume.",moderately complex,"ss_annotator_1: The FK for this text places it above the Grade 2-3 band.

ss_annotator_2: Primarily simple and complex sentences. Many sentences have multiple idea units (e.g., Blood is pushed through the organism by the heart, and brings nutrients and oxygen to our tissues.)

ss_annotator_3: The topic along with the sentence types to digest the information makes this appropriate for Grade 3.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
3,1914,4,6.65,"Blood is a liquid in humans and many animals except insects. Blood is pushed through the organism by the heart, and brings nutrients and oxygen to our tissues. It also takes away waste and carbon dioxide from tissues. 
Blood of vertebrates is made up of blood plasma and various cells — red blood cells, white blood cells and platelets. Platelets help blood to clot. Hemoglobin is in red blood cells. White blood cells help fight infections and heal wounds.
Blood plasma is the yellow liquid in which blood cells float. Plasma is made up of nutrients, electrolytes (salts), gases, non-protein hormones, waste, lipids, and proteins. These proteins are albumin, antibodies (also called immunoglobulins), clotting factors, and protein hormones. Plasma that does not have the protein fibrinogen is called serum and cannot clot. Adults have about 3 liters of plasma. Plasma is a liquid, mostly water (90%). Plasma takes up 55% of volume.",moderately complex,"ss_annotator_1: The text is made up of primarily simple and compound sentences. Only 2 of the included sentences use more complex constructions (blood plasma...) and (Plasma that does not...). Sentences contain multiple concepts.

ss_annotator_2: Primarily simple and complex sentences. Many sentences have multiple idea units (e.g., Blood is pushed through the organism by the heart, and brings nutrients and oxygen to our tissues.)

ss_annotator_3: Grade 4 readers may be able to engage with more compound sentences and still hold ideas to make meaning in with this text.",very complex,"vocab_annotator_1: Readers would encounter frequent Tier III words that may cause them to pause and search for meaning/make connections. Independent grade 3 readers may also lack context/background knowledge to fully comprehend the meaning of the text.

vocab_annotator_2: Independently this is going to be a reach for most 4th graders, because of how much content specific there is.
 
vocab_annotator_3: Vocabulary is OFTEN complex due to unfamiliar Tier 2 words and high density of Tier 3 words.","antibodies, blood cells, carbon dioxide, clot, electrolytes, gases, heal, infections, liters, nutrients, organism, plasma, platelets, proteins, serum, tissues, various, volume, vertebrates, waste, wounds","albumin, antibodies, blood plasma, cells, clot, clotting, clotting factors, electrolytes, fibrinogen, fibrinogen serum, hemoglobin, immunoglobulins, infections, lipids, non-protein hormones, nutrients, organism, plasma, platelets, protein hormones, proteins, red blood cells, serum, tissue, vertebrates, volume, white blood cells",,,"Students are likely familiar with basic human body systems and functions, such as the circulatory system and the role of the heart, but may not be familiar with detailed components of blood like plasma, fibrinogen, and the specific functions of blood cells."
4,1955,3,3.59,"Some large features on Earth were caused by water. The Grand Canyon was formed by the Colorado River. There are many rivers as big. There are rivers that are much larger. The Mississippi River is the largest river in the U.S. Only the Colorado has formed such a large canyon. The Grand Canyon is its own league.
In most cases, water is harmless. Over time, water can have a great effect. When water runs over the land it can wash the soil away. With enough time, it can carve through rock. Given enough time, it can create a canyon over a mile wide. It is hard to believe that water created the Grand Canyon.
Scientists have learned that the Grand Canyon took a long time to form. Every time it rained, the water ran across the ground. A little soil and rock were washed away with every rainstorm. Water can cause a lot of change if it has time. Scientists are unsure of the canyon's exact age. What they do know, it is old.
A lot of people visit the Grand Canyon every year. They are amazed at its size. Some people hike to the bottom of the canyon.",slightly complex,"ss_annotator_1: FK places the passage in the 2-3 band. 

The text contains a mix of simple and complex sentences, but the vast majority are simple. Most sentences contain 1 concept/idea unit, but some sentences do contain 2 idea units. Some sentences contain transition words. Most sentences contain at least 1 subordinate phrase/clause.

ss_annotator_2: This passage is primarily written in simple sentences. Additionally, the sentences have mostly a single concept within them. This text is straightforward with mostly chronological transitional phrases where they exist.",moderately complex,"vocab_annotator_1: The langauge is primarily contemporary and familiar. While the text contains some general academic vocabulary, these are words that are likely to be familiar to a thrid grade student.
vocab_annotator_2: Tier 2 words are likely to be familiar to most 3rd graders. The use of ""league"" is in the context of figurative language and will need to be explained. Tier 3 words are defined/explained in the text. Tier 3 words are repeated throughout.
vocab_annotator_3: Some limited complex language (e.g., features) but most language is conversational in nature (eg, ""There are many rivers as big."" Over time water can have a great effect."" - and then describes that effect).","age, amazed, carve, caused, effect, enough, exact, features, form, formed, harmless, hike, league, through, wash","canyon, colorado, colorado river, earth, grand canyon, mississippi river, rainstorm, rock, soil",,,"Students are likely familiar with basic concepts of erosion and landforms, such as rivers and canyons, but may not be familiar with the specific geological history of the Grand Canyon or the detailed processes of canyon formation."
5,1955,4,3.59,"Some large features on Earth were caused by water. The Grand Canyon was formed by the Colorado River. There are many rivers as big. There are rivers that are much larger. The Mississippi River is the largest river in the U.S. Only the Colorado has formed such a large canyon. The Grand Canyon is its own league.
In most cases, water is harmless. Over time, water can have a great effect. When water runs over the land it can wash the soil away. With enough time, it can carve through rock. Given enough time, it can create a canyon over a mile wide. It is hard to believe that water created the Grand Canyon.
Scientists have learned that the Grand Canyon took a long time to form. Every time it rained, the water ran across the ground. A little soil and rock were washed away with every rainstorm. Water can cause a lot of change if it has time. Scientists are unsure of the canyon's exact age. What they do know, it is old.
A lot of people visit the Grand Canyon every year. They are amazed at its size. Some people hike to the bottom of the canyon.",slightly complex,"ss_annotator_1: FK places the passage in the 2-3 band. 

The text contains a mix of simple and complex sentences, but the vast majority are simple. Most sentences contain 1 concept/idea unit, but some sentences do contain 2 idea units. Some sentences contain transition words. Most sentences contain at least 1 subordinate phrase/clause.
ss_annotator_2: This passage is primarily written in simple sentences. Additionally, the sentences have mostly a single concept within them. This text is straight forward with mostly chronological transitional phrases where they exist.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
6,1956,3,4.23,"Should places at the same distance from the equator have the same climate? You might think they should. Unfortunately, you would not be correct to think this. Climate types vary due to other factors besides distance from the equator. So what are these factors? How can they have such a large impact on local climates? For one thing, these factors are big. You may wonder, are they as big as a car? Think bigger. Are they bigger than a house? Think bigger. Are they bigger than a football stadium? You are still not close. We are talking about mountains and oceans. They are big features and big factors. Oceans and mountains play a huge role in climates around the world. Only one of those factors is latitude, or distance from the equator.
Mountain ranges can cause local climates to vary. For example, mountain ranges can block moisture. This places to be dry in areas that would otherwise be wet. 
Major climate types are based on temperature and precipitation. These two factors determine what types of plants can grow. The types of plants are very important. Animals and other living things depend on plants.",slightly complex,"ss_annotator_1: FK places this text in the 2-3 band. 

The text consists of a mix of simple and complex sentences. The vast majority of the sentences are simple. Nearly all sentences only contain one concept/idea unit. Few sentences contain transition words/phrases. 

NOTE: the second sentence in the second paragraph appears to have an error: ""This places to be dry in areas that would otherwise be wet"" - should ""places"" be ""causes them""?

ss_annotator_2: This passage is written in primarily simple sentences. Additionally, the sentences are written with a focus on one idea unit. The mix of declarative and interrogative sentences influence the way the reader engages with the text. I'm wondering if these sentence types add to complexity.

There are few subordinating clauses throughout which keeps the complexity level lower.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
7,1956,4,4.23,"Should places at the same distance from the equator have the same climate? You might think they should. Unfortunately, you would not be correct to think this. Climate types vary due to other factors besides distance from the equator. So what are these factors? How can they have such a large impact on local climates? For one thing, these factors are big. You may wonder, are they as big as a car? Think bigger. Are they bigger than a house? Think bigger. Are they bigger than a football stadium? You are still not close. We are talking about mountains and oceans. They are big features and big factors. Oceans and mountains play a huge role in climates around the world. Only one of those factors is latitude, or distance from the equator.
Mountain ranges can cause local climates to vary. For example, mountain ranges can block moisture. This places to be dry in areas that would otherwise be wet. 
Major climate types are based on temperature and precipitation. These two factors determine what types of plants can grow. The types of plants are very important. Animals and other living things depend on plants.",slightly complex,"ss_annotator_1: FK places this text in the 2-3 band. 

The text consists of a mix of simple and complex sentences. The vast majority of the sentences are simple. Nearly all sentences only contain one concept/idea unit. Few sentences contain transition words/phrases. 

ss_annotator_2: This passage is written in primarily simple sentences. Additionally, the sentences are written with a focus on one idea unit. The mix of declarative and interrogative sentences influence the way the reader engages with the text.  I'm wondering if these sentence types add to complexity.

There are few subordinating clauses throughout which keeps the complexity level lower.",moderately complex,"vocab_annotator_2: most proficient 4th graders given the background knowledge would be able to read this passage and make meaning with ease, because most of the concepts would have been covered previously

vocab_annotator_3: Tier 2 words are manageable for grade 4. The load of Tier 3 words is low and context clues help make them understandable. Concrete examples provided.","climate, depend, determine, distance, equator, factors, features, impact, latitude, local, major, moisture, precipitation, types, vary","climate, equator, latitude, moisture, precipitation, temperature",,,"Students are likely familiar with basic concepts of climate, temperature, and precipitation, but may not yet fully understand the impact of geographical features like mountains and oceans on climate variations."
8,2017,3,8.88,"An electric current is a flow of electric charge. In electric circuits this charge is often carried by moving electrons in a wire. It can also be carried by ions in an electrolyte, or by both ions and electrons such as in a plasma.
The SI unit for measuring an electric current is the ampere, which is the flow of electric charge across a surface at the rate of one coulomb per second. Electric current is measured using a device called an ammeter.
Electric currents cause Joule heating, which creates light in incandescent light bulbs. They also create magnetic fields, which are used in motors, inductors and generators.
The particles that carry the charge in an electric current are called charge carriers. In metals, one or more electrons from each atom are loosely bound to the atom, and can move freely about within the metal. These conduction electrons are the charge carriers in metal conductors.",moderately complex,"ss_annotator_1: FK Places this text in the Grade 6-8 or 9-10 band. 

General: 
The text places significant knowledge demands on students; many key terms are undefined - SI Unit, coulomb, incandescent. 

Sentence Structure: 
The text contains a mix of simple, compound, and complex sentences, but the majority of sentences are simple. About 1/2 of the sentences contain one concept (e.g., an electric current is a flow of electric charge), and 1/2 contain more than one concept (e.g., electric units cause Joule heating, which creates light in incandescent light bulbs). Many sentences contain at least one subordinate clause.

ss_annotator_2: There is a mix of simple, compound, and  complex sentences. The density of multiple concepts increase the complexity. The passage is dense with information.",exceedingly complex,"vocab_annotator_1: The frequency of complex vocabulary will disrupt makes comprehension of the text very as grade 3 readers work to find meaning and make connections.

vocab_annotator_3: Nearly every sentence contains specialized vocabulary. The concepts discussed are well beyond the grade 3 science standards.","bound, carried, charge, create, creates, current, device, fields, flow, freely, loosely, measured, measuring, moving, particles, rate, surface","ammeter, ampere, anmeter, atom, charge carriers, circuits, conduction, conduction electrons, conductors, coulomb, current, electric charge, electrolyte, electrons, generators, incandescent, inductors, ions, joule heating, magnetic fields, metals, motors, particles, plasma, si unit, wire",,,"Students are likely familiar with basic concepts of electricity and electric circuits, but may not be familiar with terms like ""ampere,"" ""Joule heating,"" or ""charge carriers."""
9,2017,4,8.88,"An electric current is a flow of electric charge. In electric circuits this charge is often carried by moving electrons in a wire. It can also be carried by ions in an electrolyte, or by both ions and electrons such as in a plasma.
The SI unit for measuring an electric current is the ampere, which is the flow of electric charge across a surface at the rate of one coulomb per second. Electric current is measured using a device called an ammeter.
Electric currents cause Joule heating, which creates light in incandescent light bulbs. They also create magnetic fields, which are used in motors, inductors and generators.
The particles that carry the charge in an electric current are called charge carriers. In metals, one or more electrons from each atom are loosely bound to the atom, and can move freely about within the metal. These conduction electrons are the charge carriers in metal conductors.",moderately complex,"ss_annotator_1: FK Places this text in the 6-8 or 9-10 band. 

General: 
The text places significant knowledge demands on students; many key terms are undefined - SI Unit, coulomb, incandescent. 

Sentence Structure: 
The text contains a mix of simple, compound, and complex sentences, but the majority of sentences are simple. About 1/2 of the sentences contain one concept (e.g., an electric current is a flow of electric charge), and 1/2 contain more than one concept (e.g., electric units cause Joule heating, which creates light in incandescent light bulbs). Many sentences contain at least one subordinate clause.

ss_annotator_2: There is a mix of simple, compound, and  complex sentences. The density of multiple concepts increase the complexity. The passage is dense with information.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
